month,revenue_twd_mn,yoy_pct_reported,source,source_url,fetched_at_bjt,rolling_3m_yoy_pct
1999-01,3845.0,-29.4,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-02,3717.0,-29.7,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-03,4939.0,-1.3,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-04,5238.0,15.8,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-05,5619.0,38.5,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-06,6375.0,10.0,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-07,6586.0,10.0,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-08,7012.0,84.5,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-09,6109.0,37.8,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-10,7212.0,71.1,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-11,7859.0,98.5,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
1999-12,8621.0,14.2,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/1999,2026-09-11T22:33:39+08:00,
2000-01,9327.0,142.6,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/2000,2026-09-11T22:33:41+08:00,
2000-02,9019.0,142.6,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/2000,2026-09-11T22:33:41+08:00,
2000-03,9933.0,101.1,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/2000,2026-09-11T22:33:41+08:00,126.21
2000-04,8863.0,69.2,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/2000,2026-09-11T22:33:41+08:00,100.19
2000-05,10934.0,94.6,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/2000,2026-09-11T22:33:41+08:00,88.21
2000-06,12015.0,88.5,TSMC Investor Relations,https://investor.tsmc.com/english/monthly-revenue/2000,2026-09-11T22:33:41+08:00,84.61
