date,open,high,low,close,adj_close,volume,source,source_symbol,fetched_at_bjt,status
1999-03-10,51.125,51.15625,50.28125,51.0625,43.027042388916016,5232000,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-11,51.4375,51.734375,50.3125,51.3125,43.23771667480469,9688600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-12,51.125,51.15625,49.65625,50.0625,42.18442916870117,8743600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-15,50.4375,51.5625,49.90625,51.5,43.39570236206055,6369000,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-16,51.71875,52.15625,51.15625,51.9375,43.76436614990234,4905800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-17,51.9375,52.0,51.40625,51.5625,43.44835662841797,3965000,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-18,51.5,52.59375,51.484375,52.5625,44.29099655151367,4848400,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-19,53.25,53.25,51.1875,51.21875,43.15872573852539,7160400,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-22,51.4375,51.5625,50.5,50.59375,42.63206481933594,5024800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-23,50.3125,50.5,48.71875,48.8125,41.13113021850586,10962400,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-24,49.25,50.5,48.5,50.46875,42.5267333984375,8447000,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-25,51.25,52.3125,50.9140625,52.3125,44.08034133911133,8133800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-26,51.875,52.46875,51.53125,51.75,43.60636901855469,8256200,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-29,52.375,53.65625,52.0625,53.625,45.186309814453125,5113800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-30,53.5625,54.0,53.03125,53.25,44.87031555175781,4940600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-03-31,54.125,54.1875,52.3125,52.46875,44.21202087402344,8256600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-01,54.0,54.0625,52.6875,53.5625,45.13364791870117,8715800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-05,54.4296875,55.578125,54.09375,55.5,46.766258239746094,5697200,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-06,55.4375,56.21875,54.96875,55.609375,46.8583984375,7522400,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-07,56.125,56.25,53.84375,55.03125,46.37126159667969,11923600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-08,54.9375,55.734375,53.8125,55.46875,46.73992538452149,7952400,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-09,55.375,55.9375,55.21875,55.8125,47.02956771850586,4946800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-12,54.5,55.8125,54.4375,55.4375,46.71358489990234,10934000,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-13,55.78125,55.90625,54.25,54.6875,46.08160781860352,9962200,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-14,55.375,55.4375,52.5078125,52.8125,44.50165939331055,21253800,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-15,53.0,53.6171875,51.125,53.53125,45.107303619384766,17650600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-16,53.40625,53.40625,51.6875,51.96875,43.79068756103516,17274000,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-19,52.3125,52.75,49.0078125,49.53125,41.73677444458008,19460600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
1999-04-20,49.3125,51.0625,48.84375,50.65625,42.68473434448242,17413600,Yahoo Finance,QQQ,2026-09-11T22:08:08+08:00,confirmed
